Rank Effect,PT (Max),PT (Avg),CVF In (Max),CVF In (Avg),CVF Out (Max),CVF Out (Avg)
126,0,0,0,0,21591,5436
127,0,0,0,0,51783,4740
128,0,0,0,0,36,5277
129,0,0,0,0,17580,4815
130,0,0,0,0,24492,4491
131,0,0,0,0,9,3849
132,0,0,0,0,14661,3525
133,0,0,0,0,24096,2724
134,0,0,0,0,3,2637
135,0,0,0,0,11637,2496
136,0,0,0,0,22662,2169
137,0,0,0,0,3,2127
138,0,0,0,0,9042,1962
139,0,0,0,0,12093,1401
140,0,0,0,0,0,1707
141,0,0,0,0,7266,1374
142,0,0,0,0,11412,1005
143,0,0,0,0,0,1116
144,0,0,0,0,5427,1071
145,0,0,0,0,9261,948
146,0,0,0,0,0,1032
147,0,0,0,0,3651,891
148,0,0,0,0,6819,723
149,0,0,0,0,0,552
150,0,0,0,0,2241,555
151,0,0,0,0,4287,357
152,0,0,0,0,0,381
153,0,0,0,0,1728,111
154,0,0,0,0,3120,180
155,0,0,0,0,0,180
156,0,0,0,0,1362,63
157,0,0,0,0,2517,36
158,0,0,0,0,0,93
159,0,0,0,0,594,105
160,0,0,0,0,2457,30
161,0,0,0,0,0,84
162,0,0,0,0,156,12
163,0,0,0,0,792,36
164,0,0,0,0,0,30
165,0,0,0,0,102,81
166,0,0,0,0,564,0
168,0,0,0,0,48,0
169,0,0,0,0,396,0
171,0,0,0,0,24,0
172,0,0,0,0,264,0
174,0,0,0,0,12,0
175,0,0,0,0,168,0
178,0,0,0,0,84,0
