,Ar,M
0,"2    4
1    4
dtype: int64","2    4
1    4
dtype: int64"
1,"2    3
1    5
dtype: int64","2    3
1    5
dtype: int64"
2,"1    8
dtype: int64","1    8
dtype: int64"
3,"1    8
dtype: int64","1    8
dtype: int64"
